params,true_negative,true_positive,false_positive,false_negative
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 'log2', 'max_depth': 20, 'min_samples_split': 20, 'min_samples_leaf': 8}",6,297,20,69
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 'log2', 'max_depth': 20, 'min_samples_split': 20, 'min_samples_leaf': 9}",18,260,8,106
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 'log2', 'max_depth': 20, 'min_samples_split': 20, 'min_samples_leaf': 10}",15,261,11,105
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 'log2', 'max_depth': 20, 'min_samples_split': 20, 'min_samples_leaf': 20}",17,255,9,111
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 'log2', 'max_depth': 20, 'min_samples_split': 20, 'min_samples_leaf': 50}",14,299,12,67
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 'log2', 'max_depth': 20, 'min_samples_split': 20, 'min_samples_leaf': 100}",15,265,11,101
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 'log2', 'max_depth': 20, 'min_samples_split': 20, 'min_samples_leaf': 200}",14,238,12,128
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 'log2', 'max_depth': 20, 'min_samples_split': 30, 'min_samples_leaf': 7}",14,264,12,102
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 'log2', 'max_depth': 20, 'min_samples_split': 30, 'min_samples_leaf': 8}",14,273,12,93
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 'log2', 'max_depth': 20, 'min_samples_split': 30, 'min_samples_leaf': 9}",18,257,8,109
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 'log2', 'max_depth': 20, 'min_samples_split': 30, 'min_samples_leaf': 10}",18,248,8,118
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 'log2', 'max_depth': 20, 'min_samples_split': 30, 'min_samples_leaf': 20}",17,255,9,111
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 'log2', 'max_depth': 20, 'min_samples_split': 30, 'min_samples_leaf': 50}",14,299,12,67
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 'log2', 'max_depth': 20, 'min_samples_split': 30, 'min_samples_leaf': 100}",15,265,11,101
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 'log2', 'max_depth': 20, 'min_samples_split': 30, 'min_samples_leaf': 200}",14,238,12,128
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 'log2', 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 7}",18,277,8,89
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 'log2', 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 8}",12,306,14,60
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 'log2', 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 9}",15,269,11,97
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 'log2', 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 10}",15,261,11,105
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 'log2', 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 20}",17,255,9,111
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 'log2', 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 50}",14,299,12,67
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 'log2', 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 100}",15,265,11,101
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 'log2', 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 200}",14,238,12,128
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 'log2', 'max_depth': 30, 'min_samples_split': 3, 'min_samples_leaf': 7}",18,277,8,89
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 'log2', 'max_depth': 30, 'min_samples_split': 3, 'min_samples_leaf': 8}",12,306,14,60
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 'log2', 'max_depth': 30, 'min_samples_split': 3, 'min_samples_leaf': 9}",15,269,11,97
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 'log2', 'max_depth': 30, 'min_samples_split': 3, 'min_samples_leaf': 10}",15,261,11,105
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 'log2', 'max_depth': 30, 'min_samples_split': 3, 'min_samples_leaf': 20}",17,255,9,111
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 'log2', 'max_depth': 30, 'min_samples_split': 3, 'min_samples_leaf': 50}",14,299,12,67
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 'log2', 'max_depth': 30, 'min_samples_split': 3, 'min_samples_leaf': 100}",15,265,11,101
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 'log2', 'max_depth': 30, 'min_samples_split': 3, 'min_samples_leaf': 200}",14,238,12,128
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 'log2', 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 7}",18,277,8,89
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 'log2', 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 8}",12,306,14,60
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 'log2', 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 9}",15,269,11,97
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 'log2', 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 10}",15,261,11,105
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 'log2', 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 20}",17,255,9,111
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 'log2', 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 50}",14,299,12,67
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 'log2', 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 100}",15,265,11,101
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 'log2', 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 200}",14,238,12,128
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 'log2', 'max_depth': 30, 'min_samples_split': 20, 'min_samples_leaf': 7}",13,272,13,94
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 'log2', 'max_depth': 30, 'min_samples_split': 20, 'min_samples_leaf': 8}",6,297,20,69
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 'log2', 'max_depth': 30, 'min_samples_split': 20, 'min_samples_leaf': 9}",18,260,8,106
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 'log2', 'max_depth': 30, 'min_samples_split': 20, 'min_samples_leaf': 10}",15,261,11,105
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 'log2', 'max_depth': 30, 'min_samples_split': 20, 'min_samples_leaf': 20}",17,255,9,111
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 'log2', 'max_depth': 30, 'min_samples_split': 20, 'min_samples_leaf': 50}",14,299,12,67
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 'log2', 'max_depth': 30, 'min_samples_split': 20, 'min_samples_leaf': 100}",15,265,11,101
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 'log2', 'max_depth': 30, 'min_samples_split': 20, 'min_samples_leaf': 200}",14,238,12,128
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 'log2', 'max_depth': 30, 'min_samples_split': 30, 'min_samples_leaf': 7}",14,264,12,102
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 'log2', 'max_depth': 30, 'min_samples_split': 30, 'min_samples_leaf': 8}",14,273,12,93
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 'log2', 'max_depth': 30, 'min_samples_split': 30, 'min_samples_leaf': 9}",18,257,8,109
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 'log2', 'max_depth': 30, 'min_samples_split': 30, 'min_samples_leaf': 10}",18,248,8,118
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 'log2', 'max_depth': 30, 'min_samples_split': 30, 'min_samples_leaf': 20}",17,255,9,111
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 'log2', 'max_depth': 30, 'min_samples_split': 30, 'min_samples_leaf': 50}",14,299,12,67
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 'log2', 'max_depth': 30, 'min_samples_split': 30, 'min_samples_leaf': 100}",15,265,11,101
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 'log2', 'max_depth': 30, 'min_samples_split': 30, 'min_samples_leaf': 200}",14,238,12,128
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 7}",15,292,11,74
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 8}",13,292,13,74
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 9}",13,284,13,82
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 10}",12,294,14,72
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 20}",18,177,8,189
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 50}",14,317,12,49
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 100}",19,241,7,125
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 200}",19,262,7,104
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': None, 'min_samples_split': 3, 'min_samples_leaf': 7}",15,292,11,74
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': None, 'min_samples_split': 3, 'min_samples_leaf': 8}",13,292,13,74
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': None, 'min_samples_split': 3, 'min_samples_leaf': 9}",13,284,13,82
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': None, 'min_samples_split': 3, 'min_samples_leaf': 10}",12,294,14,72
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': None, 'min_samples_split': 3, 'min_samples_leaf': 20}",18,177,8,189
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': None, 'min_samples_split': 3, 'min_samples_leaf': 50}",14,317,12,49
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': None, 'min_samples_split': 3, 'min_samples_leaf': 100}",19,241,7,125
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': None, 'min_samples_split': 3, 'min_samples_leaf': 200}",19,262,7,104
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 7}",15,292,11,74
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 8}",13,292,13,74
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 9}",13,284,13,82
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 10}",12,294,14,72
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 20}",18,177,8,189
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 50}",14,317,12,49
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 100}",19,241,7,125
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 200}",19,262,7,104
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': None, 'min_samples_split': 20, 'min_samples_leaf': 7}",9,305,17,61
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': None, 'min_samples_split': 20, 'min_samples_leaf': 8}",15,283,11,83
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': None, 'min_samples_split': 20, 'min_samples_leaf': 9}",12,294,14,72
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': None, 'min_samples_split': 20, 'min_samples_leaf': 10}",12,294,14,72
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': None, 'min_samples_split': 20, 'min_samples_leaf': 20}",18,177,8,189
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': None, 'min_samples_split': 20, 'min_samples_leaf': 50}",14,317,12,49
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': None, 'min_samples_split': 20, 'min_samples_leaf': 100}",19,241,7,125
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': None, 'min_samples_split': 20, 'min_samples_leaf': 200}",19,262,7,104
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': None, 'min_samples_split': 30, 'min_samples_leaf': 7}",10,271,16,95
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': None, 'min_samples_split': 30, 'min_samples_leaf': 8}",10,276,16,90
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': None, 'min_samples_split': 30, 'min_samples_leaf': 9}",11,274,15,92
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': None, 'min_samples_split': 30, 'min_samples_leaf': 10}",14,270,12,96
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': None, 'min_samples_split': 30, 'min_samples_leaf': 20}",18,177,8,189
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': None, 'min_samples_split': 30, 'min_samples_leaf': 50}",14,317,12,49
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': None, 'min_samples_split': 30, 'min_samples_leaf': 100}",19,241,7,125
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': None, 'min_samples_split': 30, 'min_samples_leaf': 200}",19,262,7,104
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 7}",11,303,15,63
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 8}",14,303,12,63
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 9}",15,290,11,76
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 10}",12,300,14,66
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 20}",19,248,7,118
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 50}",14,317,12,49
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 100}",19,241,7,125
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 200}",19,262,7,104
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 10, 'min_samples_split': 3, 'min_samples_leaf': 7}",11,303,15,63
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 10, 'min_samples_split': 3, 'min_samples_leaf': 8}",14,303,12,63
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 10, 'min_samples_split': 3, 'min_samples_leaf': 9}",15,290,11,76
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 10, 'min_samples_split': 3, 'min_samples_leaf': 10}",12,300,14,66
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 10, 'min_samples_split': 3, 'min_samples_leaf': 20}",19,248,7,118
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 10, 'min_samples_split': 3, 'min_samples_leaf': 50}",14,317,12,49
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 10, 'min_samples_split': 3, 'min_samples_leaf': 100}",19,241,7,125
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 10, 'min_samples_split': 3, 'min_samples_leaf': 200}",19,262,7,104
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 7}",11,303,15,63
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 8}",14,303,12,63
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 9}",15,290,11,76
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 10}",12,300,14,66
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 20}",19,248,7,118
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 50}",14,317,12,49
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 100}",19,241,7,125
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 200}",19,262,7,104
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 10, 'min_samples_split': 20, 'min_samples_leaf': 7}",10,304,16,62
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 10, 'min_samples_split': 20, 'min_samples_leaf': 8}",13,304,13,62
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 10, 'min_samples_split': 20, 'min_samples_leaf': 9}",12,300,14,66
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 10, 'min_samples_split': 20, 'min_samples_leaf': 10}",12,300,14,66
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 10, 'min_samples_split': 20, 'min_samples_leaf': 20}",19,248,7,118
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 10, 'min_samples_split': 20, 'min_samples_leaf': 50}",14,317,12,49
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 10, 'min_samples_split': 20, 'min_samples_leaf': 100}",19,241,7,125
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 10, 'min_samples_split': 20, 'min_samples_leaf': 200}",19,262,7,104
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 10, 'min_samples_split': 30, 'min_samples_leaf': 7}",12,265,14,101
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 10, 'min_samples_split': 30, 'min_samples_leaf': 8}",14,258,12,108
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 10, 'min_samples_split': 30, 'min_samples_leaf': 9}",14,258,12,108
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 10, 'min_samples_split': 30, 'min_samples_leaf': 10}",14,258,12,108
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 10, 'min_samples_split': 30, 'min_samples_leaf': 20}",19,248,7,118
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 10, 'min_samples_split': 30, 'min_samples_leaf': 50}",14,317,12,49
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 10, 'min_samples_split': 30, 'min_samples_leaf': 100}",19,241,7,125
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 10, 'min_samples_split': 30, 'min_samples_leaf': 200}",19,262,7,104
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 7}",15,292,11,74
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 8}",13,292,13,74
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 9}",13,284,13,82
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 10}",12,294,14,72
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 20}",18,177,8,189
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 50}",14,317,12,49
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 100}",19,241,7,125
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 200}",19,262,7,104
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 20, 'min_samples_split': 3, 'min_samples_leaf': 7}",15,292,11,74
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 20, 'min_samples_split': 3, 'min_samples_leaf': 8}",13,292,13,74
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 20, 'min_samples_split': 3, 'min_samples_leaf': 9}",13,284,13,82
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 20, 'min_samples_split': 3, 'min_samples_leaf': 10}",12,294,14,72
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 20, 'min_samples_split': 3, 'min_samples_leaf': 20}",18,177,8,189
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 20, 'min_samples_split': 3, 'min_samples_leaf': 50}",14,317,12,49
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 20, 'min_samples_split': 3, 'min_samples_leaf': 100}",19,241,7,125
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 20, 'min_samples_split': 3, 'min_samples_leaf': 200}",19,262,7,104
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 7}",15,292,11,74
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 8}",13,292,13,74
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 9}",13,284,13,82
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 10}",12,294,14,72
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 20}",18,177,8,189
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 50}",14,317,12,49
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 100}",19,241,7,125
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 200}",19,262,7,104
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 20, 'min_samples_split': 20, 'min_samples_leaf': 7}",9,305,17,61
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 20, 'min_samples_split': 20, 'min_samples_leaf': 8}",15,283,11,83
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 20, 'min_samples_split': 20, 'min_samples_leaf': 9}",12,294,14,72
"{'criterion': 'gini', 'splitter': 'random', 'random_state': 42, 'max_features': 2, 'max_depth': 20, 'min_samples_split': 20, 'min_samples_leaf': 10}",12,294,14,72
